ztf_id,ae_mse
ZTF19acdgwhq,0.3769228
ZTF18aasdted,0.43070552
ZTF18aaumeys,0.20434064
ZTF18aaunfqq,0.18290216
ZTF18aasxvsg,0.45015946
ZTF18aavqdyq,0.22994624
ZTF18aavrwhu,0.19534852
ZTF18aaxcntm,0.11216506
ZTF18aawyjjq,0.3186661
ZTF18aaxdrjn,0.474065
ZTF18aaxiuyp,0.20651217
ZTF18aaxsioa,0.09177158
ZTF18aayjvve,0.17736965
ZTF18aayjyub,0.20406324
ZTF18aaxvpsw,0.19895497
ZTF18aaykjei,0.18886052
ZTF18aaxwjmp,0.13754036
ZTF18aaydmkh,0.2384635
ZTF19aanbojt,0.716291
ZTF18aaytovs,0.110423416
ZTF18aazixbw,0.10206316
ZTF18aazjztm,0.19900352
ZTF18aazsabq,0.15243772
ZTF18aaxkjmm,0.22317757
ZTF18abauprj,0.40223864
ZTF18abaxlpi,0.2512002
ZTF18abbpeqo,0.34872624
ZTF18abckutn,0.4537299
ZTF18abclfee,0.3192221
ZTF18abcezmh,0.17661709
ZTF18abcsgvj,0.3365259
ZTF18abceakp,0.75110817
ZTF18abcpmwh,1.1787698
ZTF18abcptmt,0.16612886
ZTF18abcrxoj,0.40921256
ZTF18abcflnz,0.18294597
ZTF18abdfwur,0.08182926
ZTF18abdbuty,0.08574529
ZTF18abdbysy,0.7827641
ZTF18abdiwpt,0.18038362
ZTF18abdkimx,0.107772306
ZTF18abdrmin,0.3768218
ZTF18abecbks,0.15437606
ZTF18abcfdzu,0.8139324
ZTF18abeajml,0.36749908
ZTF18abetehf,0.19296499
ZTF18abetewu,0.33457005
ZTF18ablrljh,0.64326704
ZTF18abeecwe,0.13830304
ZTF18abfgygp,0.19033042
ZTF18abdkkwa,0.0887045
ZTF18abfhryc,0.3170347
ZTF18abffyqp,0.474084
ZTF18abixkjh,0.09337461
ZTF18aailmnv,0.122737095
ZTF18abfzhct,0.101468325
ZTF18abfzixe,0.43012896
ZTF18abgmcmv,0.21588081
ZTF18abfzfcv,0.145006
ZTF18aawurud,0.12392939
ZTF18abeyqpr,0.2767834
ZTF18abjgyyr,0.29521236
ZTF18abimsyv,0.3033458
ZTF18abjvhec,0.15628602
ZTF18abjrfqx,0.1652813
ZTF22aamjqvc,0.11055257
ZTF18abkhcwl,0.15981504
ZTF18abkhcrj,0.08512565
ZTF18abjtgdo,1.3528634
ZTF18ablhvfr,0.10268337
ZTF18aasprui,1.0183055
ZTF18ablongw,0.08125656
